t;raw ax;raw ay;raw az
0,023243;130;133;159
0,032245;129;133;159
0,094184;130;133;159
0,118178;129;133;159
0,207194;130;133;159
0,228538;129;133;159
0,296187;130;133;159
0,311190;129;133;159
0,352179;130;133;159
0,357178;129;133;159
0,388175;130;133;159
0,407175;129;133;159
0,501187;130;133;159
0,521175;129;133;159
0,572186;129;133;160
0,592177;129;133;159
0,609189;130;133;159
0,626180;129;133;160
0,628173;129;133;159
0,654178;130;133;159
0,661172;129;133;159
0,731177;130;133;159
0,764189;129;133;159
0,771179;130;133;159
0,783178;129;133;159
0,873180;130;133;159
0,907187;129;133;159
0,943180;129;133;160
0,956178;130;133;159
0,973177;129;133;159
1,057188;130;133;159
1,078178;129;133;159
1,157180;130;133;159
1,179179;129;133;159
1,227188;130;133;159
1,261206;129;133;159
1,352180;129;132;159
1,358186;130;133;159
1,384181;129;133;159
1,388176;130;133;159
1,402175;129;133;159
1,441181;130;133;159
1,459176;129;133;159
1,514185;130;133;159
1,521179;129;133;159
1,532176;130;133;159
1,556176;129;133;159
1,593177;129;133;160
1,604178;129;133;159
1,613173;130;133;159
1,638174;129;133;159
1,684165;130;133;159
1,706340;129;133;159
1,766189;130;133;159
1,797180;129;133;159
1,858189;130;133;159
1,876181;129;133;159
1,967187;130;133;159
1,989177;129;133;159
2,078178;130;133;159
2,097176;129;133;159
2,151185;130;133;159
2,182219;129;133;159
2,189174;130;133;159
2,198177;129;133;159
2,253211;130;133;159
2,274192;129;133;159
2,304179;130;133;159
2,321177;129;133;159
2,351182;129;133;160
2,364172;129;133;159
2,381177;130;133;159
2,402177;129;133;159
2,422187;130;133;159
2,444178;129;133;159
2,483175;129;132;159
2,491177;129;133;159
2,532181;129;133;160
2,546175;130;133;159
2,573187;129;133;159
2,612177;129;132;159
2,628176;129;133;159
2,634177;130;133;159
2,658175;129;133;159
2,664175;130;133;159
2,673176;129;133;159
2,689210;130;133;159
2,693177;129;133;159
2,726192;130;133;159
2,746179;129;133;159
2,797178;130;133;159
2,806174;129;133;159
2,814176;130;133;159
2,856177;129;133;159
2,877185;130;133;159
2,886176;129;133;159
2,927186;130;133;159
2,942183;129;133;159
2,948178;130;133;159
2,978176;129;133;159
2,987175;129;132;159
3,002177;129;133;159
3,033188;130;133;159
3,039177;129;133;159
3,075178;130;133;159
3,102176;129;132;159
3,111178;129;133;159
3,185185;130;133;159
3,212178;129;133;159
3,282207;130;133;159
3,302177;130;132;159
3,321189;130;133;159
3,332180;129;133;159
3,367179;130;133;159
3,383176;129;133;159
3,436179;130;133;159
3,476187;129;133;159
3,527188;130;133;159
3,588176;129;133;159
3,679191;130;133;159
3,709219;129;133;159
3,733185;129;132;159
3,737178;129;133;159
3,773189;130;133;159
3,802178;129;133;159
3,862176;130;133;159
3,871176;129;133;159
3,892177;130;133;159
3,901176;129;133;159
3,953187;130;133;159
3,972178;129;133;159
4,024248;130;133;159
4,052176;129;133;159
4,094188;130;133;159
4,133187;129;133;159
4,246228;130;133;159
4,266181;129;133;159
4,301179;130;133;159
4,304178;129;133;159
4,327176;130;133;159
4,346179;129;133;159
4,378188;129;132;159
4,386176;129;133;159
4,398175;130;133;159
4,436176;129;133;159
4,451175;129;133;160
4,457176;129;133;159
4,466175;129;133;160
4,498187;130;133;159
4,512571;129;133;159
4,518182;130;133;159
4,558178;129;133;159
4,592176;129;133;160
4,606177;129;133;159
4,608177;130;133;159
4,619177;129;133;159
4,641175;130;133;159
4,649178;129;133;159
4,681185;130;133;159
4,703176;129;133;159
4,709176;130;133;159
4,723179;129;133;159
4,796189;129;132;159
4,801177;130;133;159
4,826189;129;133;159
4,876179;129;133;160
4,882177;129;133;159
4,894177;130;133;159
4,942178;129;133;159
5,002186;130;133;159
5,024179;129;133;159
5,087179;130;133;159
5,116187;129;133;159
5,164178;130;133;159
5,179178;129;133;159
5,208173;130;133;159
5,217175;129;133;159
5,247209;129;132;159
5,256182;130;133;159
5,271188;129;133;159
5,301181;130;133;159
5,307177;129;133;159
5,389208;130;133;159
5,422203;129;133;159
